name,address,type
resolve_scenario_event_name,0x0043BFD0,function
battle_initialize_or_transition_46fe80,0x00470880,function
battle_prepare_match_roster_470060,0x00470A60,function
ReimuObjectManager_spawn_object,0x004938D0,function
MarisaObjectManager_spawn_object,0x004B9DB0,function
AliceObjectManager_spawn_object,0x004FAAD0,function
PatchouliObjectManager_spawn_object,0x0051ED70,function
YoumuObjectManager_spawn_object,0x0053B1C0,function
RemiliaObjectManager_spawn_object,0x00555E80,function
YuyukoObjectManager_spawn_object,0x0056DCB0,function
YukariObjectManager_spawn_object,0x0058BF80,function
SuikaObjectManager_spawn_object,0x005AEB10,function
UdongeObjectManager_spawn_object,0x005D2A80,function
KomachiObjectManager_spawn_object,0x005F78C0,function
AyaObjectManager_spawn_object,0x00618470,function
IkuObjectManager_spawn_object,0x00631140,function
TenshiObjectManager_spawn_object,0x0064B580,function
ReimuObjectManagerBase_ctor,0x00493570,function
MarisaObjectManagerBase_ctor,0x004B9B30,function
SakuyaObjectManagerBase_ctor,0x004DF050,function
AliceObjectManagerBase_ctor,0x004FA860,function
PatchouliObjectManagerBase_ctor,0x0051EB00,function
YoumuObjectManagerBase_ctor,0x0053AEC0,function
RemiliaObjectManagerBase_ctor,0x00555C10,function
YuyukoObjectManagerBase_ctor,0x0056D9C0,function
YukariObjectManagerBase_ctor,0x0058BBA0,function
SuikaObjectManagerBase_ctor,0x005AE8A0,function
UdongeObjectManagerBase_ctor,0x005D27F0,function
KomachiObjectManagerBase_ctor,0x005F7650,function
AyaObjectManagerBase_ctor,0x00618020,function
IkuObjectManagerBase_ctor,0x00630ED0,function
TenshiObjectManagerBase_ctor,0x0064B2A0,function
process_fighter_transient_status,0x0045E3D0,function
lookup_orientation_sine,0x00406480,function
lookup_orientation_cosine,0x004064B0,function
atan2_degrees,0x00406540,function
transform_box_from_local_frame,0x0045B760,function
transform_box_from_local_frame_flipped_y,0x0045B8B0,function
build_oriented_box_and_descriptor,0x0045BA70,function
try_dispatch_signed_gate_actions_208_210,0x00493AC0,function
try_dispatch_flagged_gate_actions_225_226,0x00493C50,function
set_action_and_finalize_command,0x00493D00,function
