address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x004054D0,490,0x004056C5,FUN_004054d0,,,unclassified,0.00,unknown,undefined FUN_004054d0(void),false,,,,
0x004056D0,40,0x004056F7,FUN_004056d0,,,unclassified,0.00,unknown,undefined FUN_004056d0(void),false,,,,
0x00405700,142,0x0040578D,FUN_00405700,,,unclassified,0.00,unknown,undefined FUN_00405700(void),false,,,,
0x00405790,13,0x0040579D,FUN_00405790,,,unclassified,0.00,unknown,undefined FUN_00405790(void),false,,,,
0x004057A0,65,0x004057E0,FUN_004057a0,,,unclassified,0.00,unknown,undefined FUN_004057a0(void),false,,,,
0x004057F0,5,0x004057F4,thunk_FUN_00405e70,,,unclassified,0.00,unknown,undefined thunk_FUN_00405e70(void),true,,,,
0x00405800,95,0x0040585E,FUN_00405800,,,unclassified,0.00,unknown,undefined FUN_00405800(void),false,,,,
0x00405860,170,0x00405909,FUN_00405860,,,unclassified,0.00,unknown,undefined FUN_00405860(void),false,,,,
0x00405910,147,0x004059A2,FUN_00405910,,,unclassified,0.00,unknown,undefined FUN_00405910(void),false,,,,
0x004059B0,276,0x00405AC9,FUN_004059b0,,,unclassified,0.00,unknown,undefined FUN_004059b0(void),false,,,,
0x00405AD0,307,0x00405C5E,FUN_00405ad0,,,unclassified,0.00,unknown,undefined FUN_00405ad0(void),false,,,,
0x00405C60,104,0x00405CC7,FUN_00405c60,,,unclassified,0.00,unknown,undefined FUN_00405c60(void),false,,,,
0x00405CD0,126,0x00405D4D,FUN_00405cd0,,,unclassified,0.00,unknown,undefined FUN_00405cd0(void),false,,,,
0x00405D50,73,0x00405D98,FUN_00405d50,,,unclassified,0.00,unknown,undefined FUN_00405d50(void),false,,,,
0x00405DA0,110,0x00405E0D,FUN_00405da0,,,unclassified,0.00,unknown,undefined FUN_00405da0(void),false,,,,
0x00405E10,73,0x00405E65,FUN_00405e10,,,unclassified,0.00,unknown,undefined FUN_00405e10(void),false,,,,
0x00405E70,40,0x00405E97,FUN_00405e70,,,unclassified,0.00,unknown,undefined FUN_00405e70(void),false,,,,
0x00405EB0,50,0x00405EE1,FUN_00405eb0,,,unclassified,0.00,unknown,undefined FUN_00405eb0(void),false,,,,
0x00405EF0,194,0x00405FB6,FUN_00405ef0,,,unclassified,0.00,unknown,undefined FUN_00405ef0(void),false,,,,
0x00405FC0,138,0x00406049,FUN_00405fc0,,,unclassified,0.00,unknown,undefined FUN_00405fc0(void),false,,,,
0x00406050,694,0x00406308,FUN_00406050,,,unclassified,0.00,unknown,undefined FUN_00406050(void),false,,,,
0x00406350,55,0x00406386,FUN_00406350,,,unclassified,0.00,unknown,undefined FUN_00406350(void),false,,,,
0x00406390,97,0x004063F0,FUN_00406390,,,unclassified,0.00,unknown,undefined FUN_00406390(void),false,,,,
0x00406400,78,0x0040644D,FUN_00406400,,,unclassified,0.00,unknown,undefined FUN_00406400(void),false,,,,
0x00406450,28,0x0040646B,FUN_00406450,,,unclassified,0.00,unknown,undefined FUN_00406450(void),false,,,,
0x00406470,82,0x004064C1,FUN_00406470,,,unclassified,0.00,unknown,undefined FUN_00406470(void),false,,,,
0x004064D0,35,0x004064F5,FUN_004064d0,,,unclassified,0.00,unknown,undefined FUN_004064d0(void),false,,,,
0x00406500,46,0x0040652D,FUN_00406500,,,unclassified,0.00,unknown,undefined FUN_00406500(void),false,,,,
0x00406530,100,0x00406593,FUN_00406530,,,unclassified,0.00,unknown,undefined FUN_00406530(void),false,,,,
0x004065A0,94,0x004065FD,FUN_004065a0,,,unclassified,0.00,unknown,undefined FUN_004065a0(void),false,,,,
0x00406600,69,0x00406644,FUN_00406600,,,unclassified,0.00,unknown,undefined FUN_00406600(void),false,,,,
0x00406650,34,0x00406671,FUN_00406650,,,unclassified,0.00,unknown,undefined FUN_00406650(void),false,,,,
